word => count, index
कक्षा =>1516
गरिने =>1595
अल्पकालीन =>45
सरकारी =>1140
ऋणपत्र =>43
सरकार =>6098
पर्ने =>1561
स्रोत =>738
गरिन्छ =>352
भुक्तानी =>505
मिति =>435
अगावै =>79
प्रमाणपत्र =>194
खरिद =>1277
वैधानिक =>16
तरलता =>150
अनुपात =>93
स्थायी =>259
सुविधा =>1121
अन्तर =>218
कारोबार =>812
सकिने =>1264
व्यवस्था =>2177
व्यक्ति =>2466
हक =>271
धितो =>44
राखी =>143
वित्तीय =>517
संस्था =>2193
वर्ग =>358
संगठित =>49
सर्वसाधारण =>474
नागरिक =>2355
समेत =>4686
सबै =>3247
तोक्ने =>35
प्राथमिकता =>561
क्रमै =>6
बाँडफाँट =>69
गर्दछ =>516
सोमबार =>1373
अमेरि =>1655
डलर =>1426
खरिददर =>236
पैसा =>1226
बिक्रीदर =>250
तोके =>324
चिनियाँ =>916
युआन =>46
एक =>867
निर्धारण =>355
यूरोपेली =>31
मुद्रा =>241
यूरो =>41
बेलायती =>176
पाउण्ड =>44
स्र्टेलिङ =>3
स्वीस =>37
फ्य्राङ्क =>3
अष्ट्रेलियन =>88
तोकिए =>593
क्यानेडियन =>21
खरिदद =>5
सिंगापुर =>170
जापानी =>145
ऐन =>396
साउदी =>263
अरेबियन =>18
रियाल =>69
कतारी =>48
रियाली =>3
यसैगरी =>635
थाई =>19
भाट =>15
यूएई =>99
दिर्हाम =>3
मलेसियन =>30
रिंगेट =>8
दक्षिण =>936
कोरियाली =>139
वन =>586
हङकङ =>176
कुबेती =>13
दिनार =>34
बहराइन =>57
जिल्ला =>4724
प्रशासन =>811
कार्यालय =>3304
तनहुँ =>218
महिना =>2930
रु =>2005
राजश्व =>154
सङ्कलन =>288
चालु =>293
साउन =>906
असोज =>1978
मसान्त =>181
लाख =>8787
राहदानी =>52
नवीकरण =>141
हातहतियार =>24
न्यायिक =>63
दण्ड =>23
उक्त =>3861
सहायक =>285
अधिकारी =>3091
चित्राङ्गत =>4
बराल =>296
इजाजतपत्र =>15
दस्तुर =>24
जरीवाना =>11
नागरिकता =>109
वितरण =>1258
वंशज =>4
आधार =>1414
वैवाहिक =>25
अङ्गिकृत =>1
प्रतिलिपि =>30
सिफारिस =>362
दु्रत =>7
सेवा =>4301
विपद् =>139
पीडित =>332
सहायता =>264
रकम =>1673
प्रदान =>1952
मुद्दा =>660
फछ्र्यौट =>9
आदिवासी =>58
जनजाति =>47
प्रमाणित =>126
दलित =>187
पेन्सन =>24
जिप =>193
ब्रान्ड =>133
आधिकारिक =>288
विक्रेता =>42
एमएडब्लु =>12
लाइफ =>110
सोरुम =>7
सुरु =>3043
गजानन् =>3
अटो =>56
ट्रेडिङ =>50
नेपालगञ्ज =>236
आउटलेट =>43
सञ्चालन =>4244
ल्याए =>1299
पश्चिम =>403
उद्घाटन =>485
वाणिज्य =>391
संघ =>1726
अध्यक्ष =>3811
अब्दुल =>35
वाहिद =>3
मन्सुरी =>4
गरे =>6077
कार्यक्रम =>4994
प्रतिष्ठित =>114
अटोमोबाइल =>23
आउनु =>196
ठूलो =>2123
कोशेढुंगा =>37
त्यसैगरी =>698
ग्रुप =>303
महानिर्देशक =>198
चिरञ्जीवी =>14
शाह =>500
औपचारिक =>231
ग्राहक =>1183
अपेक्षा =>472
हामी =>3730
आशा =>393
डिलरसिप =>2
परिवार =>1404
आबद्ध =>240
चाहने =>301
सहज =>882
बनाउनेछ =>30
बढ्दो =>249
लोकप्रियता =>101
ध्यान =>726
राखेर =>596
देश =>4147
सञ्जाल =>664
बढाउँदै =>55
लग्ने =>9
नीति =>773
लिए =>1937
यसै =>1018
स्थान =>3092
सर्भिस =>242
बताइए =>1511
रोडसाइड =>2
असिस्ट्यान्स =>2
सहित =>623
चौबीसै =>8
घण्टा =>1380
दिइ =>346
तिहार =>521
माला =>112
खपत =>235
फ्लोरिकल्चर =>9
एसोसिएसन =>184
अनुमान =>577
गरेको =>181
सयपत्री =>42
मखमली =>25
गोदावरी =>98
फूल =>434
खुद्रा =>56
÷ =>165
यमपञ्च =>1
समय =>3558
माग =>1897
महासंघ =>568
भनाई =>392
भाइटिका =>10
धान्ने =>13
नेपाली =>5264
खेर =>95
गए =>2363
पुष्प =>154
गुनासो =>493
वटा =>2695
व्यवसायीक =>29
खेती =>245
हुँदै =>1503
बागमती =>203
लुम्बिनी =>558
गण्डकी =>457
सुदूर =>21
पश्चिमाञ्चल =>52
मीनबहादुर =>22
तामाङ =>500
मुस्ताङ =>285
यसपाली =>16
दसैं =>264
च्याङग्रा =>8
निकासी =>42
सरदर =>17
प्रतिगोटा =>16
दर =>1169
दश =>230
बेचे =>74
कृषक =>123
रुपैया =>41
भित्र्याए =>81
भेटेरीनरी =>4
अस्पताल =>3703
पशु =>102
विज्ञ =>420
केन्द्र =>2055
दण्डपाणी =>1
सापकोटा =>284
दसैँ =>253
“ =>2209
परीक्षण =>1724
बाहिरिए =>221
छन् =>41
गोठ =>61
” =>1395
तिब्बत =>81
भेडाच्याङ्ग्रा =>21
नआए =>194
बिगत =>30
झण्डै =>566
आधा =>351
सङ्ख्या =>1661
भेडाच्याङग्रा =>4
अघिल्ला =>80
अधिकांश =>644
व्यापारी =>218
घटाएर =>49
बिवरण =>3
अभिलेख =>53
राख्न =>582
समस्या =>2602
शर्मा =>1494
चिकित्सक =>425
स्वास्थ्य =>3884
परिक्षण =>110
गराउँदा =>39
शूल्क =>39
थासाङ =>3
गाउँपालि =>1047
बङ्गुर =>14
जोन =>189
धौलागिरि =>93
प्राविधिक =>684
शिक्षालय =>67
समन्वय =>629
प्रवन्ध =>74
मिलाए =>98
थोरै =>286
भेडा =>55
नभए =>1595
घुम्ती =>49
खोरपाले =>2
नधान्ने =>7
बीच =>151
बढाए =>435
जोमसोम =>101
पुगेर =>370
च्याङ्ग्रा =>87
प्रदिप =>42
बस्नेत =>455
तिर्नुपरे =>6
म्याग्दी =>351
पर्वत =>241
बागलुङ =>253
कास्की =>225
बुटवल =>359
बन्दिपुर =>10
बानियाँटार =>1
धनबहादुर =>41
राना =>199
जागिर =>228
अवकाश =>44
कागती =>38
शुरु =>1687
पैतिस =>2
बिताए =>109
उपसचिव =>98
पद =>415
रोपनी =>156
क्षेत्रफल =>183
आठ =>613
बिरुवा =>64
लगाए =>1505
कृषि =>683
ज्ञान =>363
निःशुल्क =>661
उपलब्ध =>2380
गराए =>1124
प्रविधि =>1323
प्रदर्शन =>1066
कार्यक्रमअन्तर्गत =>67
उद्देश्य =>846
लिएर =>1091
हुँ =>343
रोपे =>17
भयो =>1872
परिश्रम =>28
लाग्ने =>777
भनाइ =>1646
एकचोटी =>6
विषादी =>16
हाल्नैपर्छ =>2
क्याङ्कर =>1
रोग =>733
हाल्नै =>1
अनुभव =>633
नलागे =>53
सुरक्षा =>1489
मलचिङ =>3
चिस्यान =>8
संरक्षण =>745
मल =>218
पानी =>1220
झार =>4
आउन =>714
नदिने =>203
काम =>5590
फाइदा =>287
छ =>145
सुझाव =>529
सुख्खा =>38
मौसम =>324
फागुन =>437
जेठ =>495
हाल्नुपर्छ =>3
थोपा =>82
सिंचाई =>14
यस =>7314
सहयोग =>3302
भेग =>170
अति =>286
उपयोगी =>171
उचित =>204
व्यवस्थापन =>1645
स्याहारसम्भार =>3
सके =>1164
पहाडी =>199
जुनसु =>177
ठाउँ =>1337
कुलप्रसाद =>30
तिवारी =>182
नमूना =>272
विकास =>3600
लागिए =>509
सुन्तला =>24
जात =>174
थियौ =>42
फार्म =>77
ग =>126
गर्ने =>526
अवलोकन =>441
हेरे =>123
थाहा =>896
हुन्छ =>14
राष्ट्रिय =>2132
ध्वजावाहक =>12
वायुसेवा =>426
निगम =>976
एयरलाइन्स =>916
नियमित =>772
कार्बाही =>7
प्रक्रियागत =>13
एवम् =>284
संस्थागत =>277
निर्णय =>2543
नसके =>779
अवस्था =>3538
कार्यकारी =>870
नियुक्ति =>158
गरिनु =>94
विषय =>2978
नीतिगत =>103
निर्णयसहित =>3
गतिशीलता =>6
विज्ञप्ति =>581
कम्पनी =>6337
मोडल =>296
लैजान =>168
विरोध =>483
कर्मचारी =>1687
ट्रेड =>76
युनियन =>250
आन्दोलन =>811
महाप्रबन्धक =>162
पुग्न =>405
थिएनन् =>202
परिणाम =>108
स्वरुप =>180
समिति =>2541
बैठक =>1390
असार =>922
गते =>2971
सञ्चालक =>623
बस्न =>361
यही =>1383
कात्तिक =>1280
पूर्वनिर्देशक =>3
युवराज =>123
संयुक्त =>895
संवाद =>185
सृजित =>3
पश्चात =>100
बसी =>59
महत्व =>1142
कार्यान्वयन =>639
त्यस्तै =>1492
मानिए =>164
कार्य =>1379
विभागीय =>62
कार्यसञ् =>2
जस्ता =>805
प्रत्यक्ष =>344
सम्वन्ध =>41
राख्ने =>577
प्रवक्ता =>798
करिश् =>71
श्रेष्ठ =>1973
बताइन् =>707
अर्थमन्त्री =>219
जनार्दन =>103
गणेशमान =>35
सिंह =>753
सडकमार्ग =>10
चन्द्रागिरी =>51
चित्लाङ =>16
खण्ड =>355
ढुङ्गा =>99
व्यापार =>654
बन्द =>2047
सडक =>1496
तीव्रता =>102
विभिन्न =>3546
राजधानी =>723
आयोजित =>662
शुभकामना =>227
आदानप्रदान =>91
सुनिएका =>2
त्यस्तो =>367
पुनः =>726
साधन =>501
भ्याए =>30
पहल =>503
वातावरण =>681
प्रयत्न =>80
गर्नेछु =>34
काठमाडौं =>5674
चाप =>264
बसपार्क =>85
सामुदायिक =>792
गरिब =>171
ऋणी =>29
चुक्ता =>56
गरिदिएर =>3
सम्वत् =>22
सुरुवात =>371
शङ्खधर =>7
साख्वा =>5
सपना =>707
पूरा =>987
प्रतिवद्धता =>112
व्यक्त =>1001
अभियान =>1494
बाँकी =>962
मोचन =>9
उनी =>6356
आत्मनिर् =>63
बनाउनुछ =>3
बेला =>1678
दायित्व =>146
हाम्रो =>1501
काँध =>69
लाग्न =>221
आग्रह =>1227
तत्कालीन =>314
प्रधानमन्त्री =>1082
कृष्णप्रसाद =>99
भट्टराई =>807
पाला =>57
विभूति =>10
पुष्पकमल =>27
दाहाल =>435
प्रचण्ड =>83
हुँदा =>1397
सम्वत =>17
​ =>84
मान्यता =>319
दिइए =>899
फूलखेती =>18
मनग्य =>15
आम्दानी =>528
थाले =>1879
आकर्षित =>195
भिमाद =>6
नगरपालि =>1167
धारापानी =>10
गोविन्द =>160
वर्षौ =>22
बाँझो =>19
जग्गा =>525
मुस्किल =>104
मुरी =>20
कोदो =>24
नफल्ने =>1
बारी =>78
फूले =>8
उत्साहित =>193
व्यावसायिक =>262
चितवन =>907
कलकत्ते =>1
ल्याएर =>187
भदौ =>1066
यतिबेला =>251
ढकमक्क =>14
फूल्न =>1
छाडे =>225
गह्रा =>4
फुल्दा =>2
मनमोहक =>49
बोट =>63
थङ्गा =>1
फुले =>40
बेचेर =>57
नपुग्ने =>35
घर =>3090
सुनाए =>351
सम्भावना =>665
देखे =>158
निरन्तरता =>316
पक्ष =>945
तरिका =>413
लाग्नुभए =>10
विस्तार =>751
बताउँछन् =>827
शुक्रबार =>1307
विदेशी =>1142
विनिमयदर =>43
विक्रीदर =>11
यूरोपियन =>12
यूके =>28
पाउन्ड =>64
स्टलिङ =>7
फ्रेङ्क =>7
यता =>579
यन =>7
दरिददर =>3
यूआन =>7
अरबियन =>7
खरिदर =>6
रहेको =>169
परिचालन =>224
मुलुक =>1453
गरिबी =>117
व्यहोर्नु =>26
परि =>162
बिहीबार =>1082
नेकपा =>515
माओवादी =>317
कागेश्वरी =>13
मनोहरा =>13
नगर =>620
बोल्दै =>294
मन्त्री =>1568
मुक्त =>202
बस्ने =>648
जनता =>994
शासक =>127
नभई =>318
सेवक =>28
रूप =>1299
रहेर =>266
गर्नु =>1999
पेट्रोल =>87
अरू =>308
कमी =>504
कमजोरी =>128
सत्ता =>408
रहेका =>498
नदिँदा =>39
समाज =>1495
व्यहोरि =>7
हुन =>163
होइन =>1219
रहनुपर्छ =>14
नहुने =>696
हरके =>1
संकल्प =>36
अर्थतन्त्र =>221
हुँदैन =>572
बनाउँछु =>15
अन्त्य =>644
भूमिका =>956
खेल्छु =>1
भनेर =>1649
त्यो =>80
अगाडि =>1731
बढ्यो =>67
लाग्दैन =>117
काफी =>11
बाली =>154
तरकारी =>238
लगाउने =>704
त्यस्ता =>317
वस्तु =>337
नपर्ने =>177
दाबी =>998
सम्पत्ति =>331
सामूहिक =>165
एकल =>148
श्रम =>177
जोड =>656
चलाउन =>282
विद्यालय =>5413
जीवन =>1745
सशस्त्र =>164
द्वन्द्व =>98
हिँडे =>138
ललित =>14
घलान =>33
हेटौंडा =>146
उपमहानगरपालि =>102
वडाध्यक्ष =>240
उमेर =>881
जनयुद्ध =>83
होमिन =>1
कलिलो =>8
जानु =>270
राजनीति =>534
पाइला =>143
खुड्किलो =>6
भोगे =>114
दुःख =>386
पीडा =>323
त्यहाँ =>548
बालबालिका =>848
भोग्न =>23
नपरोस् =>63
हेतु =>28
वडा =>1111
समृद्धि =>217
समर्पित =>77
बोके =>236
आयआर्जन =>31
वैकल्पिक =>214
व्यवसाय =>824
सुझाउँछन् =>3
स्वयं =>129
उपाय =>240
अवलम्बन =>35
गर्दैछन् =>102
त्यसै =>1246
नभएर =>284
सफल =>1541
उत्पादक =>137
बन्न =>533
निर्वाचित =>277
लगत्तै =>132
जनप्रतिनिधि =>172
गलत =>372
कमाउँछन् =>9
चले =>303
मानसिकता =>41
तोड्न =>19
तर्फ =>620
केन्द्रित =>298
समानान्तर =>30
बढाइ =>55
अझ =>455
माथि =>329
पुग्ने =>899
प्रयास =>779
गतिलो =>42
भविष्य =>536
खोज्दै =>102
वार्षिक =>484
कारोवार =>13
छिमेकी =>62
भाडा =>614
करिव =>104
बिगाहा =>19
बगैँचा =>45
टनेल =>17
खुल्ला =>210
लागत =>356
पान्त =>2
डाँडा =>197
प्रायः =>164
प्रदेशस्तरीय =>34
सहकारी =>260
संघसंस्था =>91
गराउँछन् =>8
लिने =>694
त्रास =>118
असर =>694
परे =>2967
अहिले =>5393
एकीकृत =>323
सिप =>31
आम =>306
जीवनस्तर =>23
परिवर्तन =>993
बुझाइ =>75
तीनै =>105
तह =>1545
पूर्वाधार =>589
बजारीकरण =>37
विस्थापित =>128
नसक्नु =>46
नपुग्नु =>1
बने =>1927
मेगा =>242
विशेष =>1078
उपहार =>317
योजना =>2089
डिजिटल =>540
प्रोत्साहन =>165
इ =>123
क्याम्पियन =>16
मार्ट =>67
ल्याइए =>386
भाइटीका =>11
दक्षिणा =>11
दिँदा =>99
रुपैंया =>28
क्यासब्याक =>21
बैंकिङ =>200
मिलाइए =>114
लक्ष्मी =>183
पुजा =>38
दिनसम्म =>3
अफर =>392
डेबिड =>2
क्रेडिट =>97
कार्ड =>448
घरायसी =>39
सामान =>413
अथवा =>153
छुट =>522
माध्यम =>912
दुबै =>491
लाभ =>189
कायम =>882
स्ट्रलिङ =>6
एसियन =>174
युवान =>9
अरब =>210
इमिरेट्स =>47
दिराम =>22
रिंगट =>10
नबिल =>114
ग्लोबल =>303
एसएमई =>21
फाइनान्स =>110
अवार्ड =>759
फाइनान्सियर =>1
अफ =>1183
द =>618
इयर =>45
विशिष्ट =>162
सम्मान =>1011
सम्मानित =>222
विश्व =>3157
अन्तर्राष्ट्रिय =>1637
वित्त =>55
आईएफसी =>7
फोरम =>70
समावेशीकरण =>3
जी =>390
साझेदारी =>246
जीपीएफआई =>2
द्वारा =>48
अनुमोदित =>5
हासिल =>436
प्रगति =>310
पहिचान =>582
दिए =>4967
रणनीतिक =>57
उत्थानमाध्यान =>2
सक्रियता =>101
प्रक्रिया =>988
नवीनतम =>18
प्रकृया =>44
सरल =>186
चुस्त =>34
कर्जा =>439
उपलब्द =>2
गराउँदै =>171
भएसँंगै =>1
अधिकृत =>885
सीईओ =>205
अनिलकेशरी =>3
कठिनाई =>36
सामना =>227
एमएमई =>2
पहुँच =>396
पु =>427
कार्यविधि =>190
केन्द्रीत =>49
गराउदै =>23
बैंकलेदेश =>2
योगदान =>723
क्रम =>2016
बैक =>32
एसियाली =>172
एडीबी =>55
सन् =>2917
अग्रणी =>101
साझेदार =>114
युरोमोनी =>2
लगातार =>646
बेस्ट =>93
जित्न =>178
शाखा =>729
एटिएम =>32
रेमिट =>12
एजेन्ट =>99
सौर्य =>58
एयरलायन्स =>13
पर्यटकीय =>943
शहर =>628
प्रसिद्ध =>142
विराटनगर =>557
भैरहवा =>311
सीधा =>51
हवाई =>704
उडान =>2607
दीपक =>345
पोखरेल =>733
यात्रु =>1245
पर्यटन =>3795
प्रवद्र्धन =>415
नं =>549
भर्खरै =>154
विमानस्थल =>1885
स्तरोन्नति =>139
बुद्ध =>423
जन्मस्थल =>44
नजिक =>518
यात्रा =>1420
मिनेट =>1478
दूरी =>338
नटिकल =>2
माइल =>34
बासिन्दा =>233
लाभान्वित =>55
भगवान =>133
गौतमबुद्ध =>63
भ्रमण =>1013
बर्सेनि =>42
पूर्वी =>227
काँकडभिट्टा =>30
हजारौँ =>100
भुटानी =>38
म्यानमार =>190
पर्यटक =>3580
भित्रिने =>72
हवाईमार्ग =>19
काठमाडौँ =>1986
कम्ती =>430
पर्खेर =>17
फेरि =>922
जहाज =>1096
बाध्यता =>288
हट्यो =>3
सक्नुहुन्छ =>217
महानुभाव =>18
बचत =>180
सीआरजे =>13
जेट =>64
विमान =>918
भित्र्याउने =>133
श्रेय =>19
उसै =>101
जान्छ =>165
उचाइ =>287
उड्ने =>72
छिटो =>262
सुरक्षित =>701
उहाँ =>1703
दावी =>294
निकट =>215
राजविराज =>106
थप्ने =>81
सिट =>263
तीन =>290
ती =>222
एउटा =>2596
मर्मतसम्भार =>27
अन्तिम =>1168
चरण =>1165
भद्रपुर =>87
धनगढी =>241
दोहोरो =>127
लक =>66
डाउन =>40
अलपत्र =>114
खोज =>140
उद्धार =>398
भन्दै =>2694
रेस्पोन्स =>22
टु =>149
दि =>105
प्यानडेमिक =>2
गोल्ड =>44
चर्चित =>528
वन्डरलस्ट =>4
म्यागेजिन =>14
किन्सिङ्टन =>2
प्यालेस =>62
गार्डेन =>52
पाए =>1672
आयोजक =>558
संस्कृति =>1059
उड्डयनमन्त्री =>46
प्रेम =>879
बहादुर =>227
आले =>106
हस्तान्तरण =>553
नोमिनेशन =>9
नौ =>28
उछिन्दै =>21
पर्यटनमन्त्री =>62
प्रेमबहादुर =>29
सचिव =>868
यादवप्रसाद =>7
कोइराला =>409
बोर्ड =>1387
डा =>2036
धनञ्जय =>22
रेग्मी =>312
नोभेम्बर =>251
लण्डन =>117
वर्ल्ड =>144
ट्राभल =>282
डब्लूटिएम =>4
समारोह =>453
स्ट्रयान्डेड =>1
इन =>203
अन =>114
लाइन =>305
संकट =>330
सीसीएमसी =>33
प्रहरी =>3373
स्थानीय =>2910
सम्बन्धित =>777
गन्तव्य =>638
स्थित =>343
कुटनीतिक =>29
नियोग =>54
रिपाट्रिएशन =>1
फ्लाइट =>109
स्वदेश =>210
फिर्ता =>497
क्यूआर =>42
कोड =>114
स्क्यान =>46
पाइने =>338
योजनाअन्तर्गत =>29
सेवाग्राही =>152
मिठाई =>58
पसल =>522
किन्दा =>36
पाइन्छ =>374
बत्तीसपुतली =>7
धारा =>117
पवन =>68
स्विट्स् =>2
कमलादी =>13
सजनगोठ =>1
दरबारमार्ग =>11
गंगौर =>1
इन्द्रचोक =>6
स्वस्तिक =>4
स्विट्स =>1
लागू =>710
हुनेछ =>2116
स्टोर =>342
नेटवर्क =>343
आईएमई =>75
पे =>139
प्रभु =>138
क्यू =>26
मोबाइल =>1365
एप =>1718
क्यु =>9
आर =>124
व्यवहार =>315
बढ्दै =>611
परिप्रेक्ष =>8
थप =>2429
बल =>560
मिल्ने =>285
विश्वास =>1128
सनराइज =>56
बाँके =>185
जानकी =>46
गाउँपालिका =>1474
खजुराखुर्द =>1
शाखारहित =>25
बैंकिङ्ग =>133
भुमिसरा =>1
धिताल =>48
नेपालगन्ज =>150
प्रबन्धक =>101
अनिल =>136
बज्राचार्य =>56
शिक्षक =>1551
उद्योगी =>73
उपस्थिति =>409
थियोे =>33
ठाँउ =>36
एटीएम =>41
निक्षेप =>240
संकलन =>540
स्थानान्तरण =>79
रेमिट्यान्स =>63
आय =>134
बढाउने =>353
एक्सटेन्सन =>44
काउण्टर =>17
मार्फत =>554
आफ्ना =>1596
आइ =>528
एनआईसी =>33
एशिया =>112
कार्डबिनै =>2
झिक्न =>12
कार्डलेस =>5
विदड्रल =>3
निकाल्न =>119
प्रयोगकर्ता =>1925
आइकन =>81
ट्याप =>67
आफु =>493
चाहे =>393
ट्रान्ज्याक्सन =>1
पिन =>13
फिङ्गरप्रिन्ट =>1
प्रमाणीकरण =>65
खाता =>388
नम्बर =>1091
ओटीपी =>3
स्क्रीन =>33
ट्रान्सज्याक्सन =>1
गई =>112
थिचे =>15
इच्छाए =>8
चालक =>360
अनुमति =>1004
पत्र =>567
लाइसेन्स =>200
उत्तीर्ण =>70
बर्ष =>529
बित्दा =>23
हात =>1223
पार्न =>304
छैनन् =>892
यातायात =>490
विभाग =>1500
खरिद् =>4
बहानाबाजी =>4
छैन् =>96
लोकनाथ =>21
भुसाल =>200
लाग्नेछ =>69
जाने =>1280
सुचारु =>193
भइसकेका =>45
अब =>231
सिर्फट =>1
छपाईं =>1
आवेदन =>477
अस्थायी =>204
परीक्षणकालीन =>10
सङ्खुवासभा =>27
किमाथाङ् =>4
नाका =>397
व्यवस्थित =>262
संचालन =>536
ल्याइने =>56
प्रेस =>230
सेन्टर =>517
संखुवासभा =>51
खाँदबारी =>10
पत्रकार =>1225
सम्मेलन =>841
अरुण =>146
करिडोर =>71
किमाथाङ्का =>2
ढोका =>226
खुल्ने =>151
बताउँदै =>623
अथाह =>16
प्राकृतिक =>342
उपयोग =>231
धनी =>209
मद्दत =>409
नदी =>588
उत्पादित =>102
विद्युत =>458
मजबुद =>12
बनाउने =>1215
घाटा =>170
अपर =>6
लगानी =>1436
प्रतिबद्धता =>297
जलविद्युत् =>122
जिम्मा =>261
बढाउन =>505
इन्धन =>150
खर्च =>1029
फ्यूल =>4
सजचार्ज =>2
बुधबार =>1337
सूचना =>1263
भाडादर =>109
रुट =>205
फ्युल =>12
डोटी =>181
साफेबगर =>7
आयल =>59
पेट्रोलियम =>64
पदार्थ =>329
डिजेल =>66
मट्टितेल =>17
खाना =>514
पकाउने =>34
एलपी =>17
ग्यास =>96
बढाउनु =>66
उड्ययन =>30
प्राधिकरण =>980
स्वीकृत =>188
उड्डयन =>432
राजकुमार =>204
क्षेत्री =>302
गौतम =>444
